,Date,Company Name,Ticker,Sector,Price ($),Size (M),1,2,3,Rank,Turnover,Gain
125,Mar 17,,,,17.0,13,GS,JPM,BAML,,116.9%,45.6%
126,Mar 17,ProPetro Holding Corp.,PUMP,Energy,14.0,25,GS,BRCL,CS,,54.1%,3.6%
127,Mar 16,Canada Goose Holdings Inc.,GOOS,Consumer-Non-Durables,12.8,20,CIBC,CS,GS,,114.1%,25.8%
128,Mar 15,,,,19.0,16,CITI,JPM,GS,,61.1%,20.6%
129,Oct 3,,,,14.0,16,JPM,CITI,,,60.5%,1.8%
130,Sep 3,BeyondSpring Inc.,BYSI,Health-Care,20.0,200,RDMN,,,,80.2%,-16%
131,Sep 3,J. Jill Inc.,JILL,Consumer-Non-Durables,13.0,11,BAML,MS,JEFF,,84.6%,-2.7%
132,Feb 3,Snap Inc.,SNAP,Technology,17.0,200,MS,GS,,,108.5%,44%
133,Jan 3,Hamilton Lane Incorporated,HLNE,Finance,16.0,11,JPM,MS,,,60.2%,12.6%
134,Oct 2,Clipper Realty Inc.,CLPR,Consumer-Services,13.5,5,FBR,RAYJ,,,19.7%,0%
135,Oct 2,,,,14.0,12,DB,BRCL,RBC,,42%,10.7%
136,Oct 2,Sachem Capital Corp.,SACH,Consumer-Services,5.0,2,JOGU,,,,16.6%,0.8%
137,Mar 2,Kimbell Royalty Partners,KRP,Energy,18.0,5,RAYJ,RBC,Stifel,,32.8%,14.7%
138,Mar 2,Ramaco Resources Inc.,METC,Energy,13.5,6,CS,JEFF,BMO,,64.1%,0.4%
139,Jan 2,Invitation Homes Inc.,INVH,Finance,20.0,77,JPM,BAML,MS,,40%,0%
140,Jan 2,Laureate Education Inc.,LAUR,Consumer-Services,14.0,35,MS,JPM,GS,,30.6%,-5.4%
141,Jan 27,,,,15.0,31,JPM,CITI,GS,,50%,-4.5%
142,Jan 27,JELD-WEN Holding Inc.,JELD,Basic-Industries,23.0,25,BRCL,JPM,CITI,,64.1%,13.6%
143,Jan 27,Jounce Therapeutics Inc.,JNCE,Health-Care,16.0,6,JPM,COWN,,,66%,7.8%
144,Jan 27,REV Group Inc.,REVG,Capital-Goods,22.0,12,GS,MS,BARD,,71%,13.6%
145,Jan 26,AnaptysBio Inc.,ANAB,Health-Care,15.0,5,CS,Stifel,,,66.4%,13.3%
146,Jan 26,ObsEva SA,OBSV,Health-Care,15.0,6,CS,JEFF,LRNK,,50.9%,-22.3%
147,Jan 20,,,,19.0,26,JPM,MS,BAML,,71.1%,13.9%
0,Dec 14,Bellicum Pharmaceuticals Inc.,BLCM,Health-Care,19.0,7,CITI,JEFF,PPRJ,,129.4%,25.7%
1,Nov 15,,,,10.0,4,CITI,CS,MS,,14.9%,2.5%
2,Nov 14,Vapotherm Inc.,VAPO,Health-Care,14.0,4,BAML,WB,,,30.9%,14.3%
3,Nov 13,Eton Pharmaceutcials Inc.,ETON,Health-Care,6.0,3,NTNL,,,,12.7%,4.2%
4,Nov 9,,,,5.0,2,JOGU,MXIM,,,4.8%,-3.6%
5,Nov 7,CNFinance Holdings Limited,CNF,Finance,7.5,6,CS,JPM,ROTH,,14.9%,1.3%
6,Oct 31,Axonics Modulation Technologies Inc.,AXNX,Health-Care,15.0,8,BAML,MS,,,37.9%,-0.1%
7,Oct 31,Orchard Therapeutics plc,ORTX,Health-Care,14.0,14,COWN,GS,JPM,,24.7%,0%
8,Oct 31,Twist Bioscience Corporation,TWST,Health-Care,14.0,5,COWN,JPM,,,27%,0%
9,Oct 26,Gamida Cell Ltd.,GMDA,Health-Care,8.0,6,BMO,RBC,,,16.8%,5.5%
10,Oct 25,StoneCo Ltd.,STNE,Technology,24.0,50,CITI,GS,JPM,,45.2%,30.6%
11,Oct 25,Pintec Technology Holdings Limited,PT,,11.9,3,CITI,DB,GS,,4.6%,5.1%
12,Oct 25,YETI Holdings Inc.,YETI,Consumer-Non-Durables,18.0,16,BAML,JEFF,MS,,62%,-5.6%
13,Oct 24,Alberton Acquisition Corporation,ALACU,Finance,10.0,10,CHRD,,,,18%,0%
14,Oct 19,LogicBio Therapeutics Inc.,LOGC,Health-Care,10.0,7,BRCL,JEFF,WB,,12.6%,15%
15,Oct 19,Niu Technologies,NIU,Capital-Goods,9.0,7,CITI,CS,,,48.8%,-3.9%
16,Oct 19,SolarWinds Corporation,SWI,Technology,15.0,25,GS,JPM,MS,,43.2%,0.2%
17,Oct 18,Studio City International Holdings Limited,MSC,Consumer-Services,12.5,28,CS,DB,MS,,5.4%,24%
18,Oct 18,,,,7.0,6,BRCL,JEFF,,,10.5%,16.4%
19,Oct 18,PhaseBio Pharmaceuticals Inc.,PHAS,Health-Care,5.0,9,CITI,COWN,Stifel,,17.8%,0%
20,Oct 17,SI-BONE Inc.,SIBN,Health-Care,15.0,7,BAML,MS,,,61%,33.7%
21,Oct 12,,,,17.0,15,GS,MS,,,97.3%,42.9%
22,Oct 12,,,,10.0,5,ERLY,,,,29.8%,0.1%
23,Oct 12,Equillium Inc.,EQ,Health-Care,14.0,4,JEFF,LRNK,,,19.6%,0%
24,Oct 11,Allogene Therapeutics Inc.,ALLO,Health-Care,18.0,18,COWN,GS,JPM,,45.1%,38.9%
25,Oct 11,Livent Corporation,LTHM,Basic-Industries,17.0,20,BAML,CS,GS,,57.1%,-0.2%
26,Oct 5,,,,12.0,12,JEFF,,,,11.9%,-15.3%
27,Oct 5,,,,14.0,20,CNTR,,,,23.4%,-28.3%
28,Oct 5,Elastic N.V.,ESTC,Technology,36.0,7,BRCL,GS,JPM,,102.5%,94.4%
29,Oct 5,EdtechX Holdings Acquisition Corp.,EDTXU,Finance,10.0,5,CHRD,IBNK,,,14.9%,0.3%
30,Oct 4,Guardant Health Inc.,GH,Health-Care,19.0,12,BAML,JPM,,,82.7%,69.5%
31,Oct 4,Kodiak Sciences Inc,KOD,Health-Care,10.0,9,BAML,MS,,,26.8%,1.6%
32,Oct 3,Upwork Inc.,UPWK,Technology,15.0,12,CITI,JEFF,RBC,,67.2%,41.2%
33,Sep 28,,,,12.0,4,BAML,CITI,CS,,87.7%,-21.3%
34,Sep 28,Gritstone Oncology Inc.,GRTS,Health-Care,15.0,6,BRCL,COWN,GS,,21.8%,-5.1%
35,Sep 27,Ra Medical Systems Inc.,RMED,Health-Care,17.0,3,CNTR,PPRJ,,,60.6%,17.6%
36,Sep 27,,,,14.0,10,COWN,JPM,JEFF,,45%,-16.8%
37,Sep 27,,,,12.5,5,GS,MS,,,76.9%,1.2%
38,Sep 27,Sutro Biopharma Inc.,STRO,Health-Care,15.0,5,COWN,PPRJ,,,47.7%,1.3%
39,Sep 27,Arvinas Inc.,ARVN,Health-Care,16.0,7,CITI,GS,PPRJ,,45.6%,0.3%
40,Sep 26,,,,12.0,15,ALLN,BAML,JPM,,124.2%,43.7%
41,Sep 26,Capital Bancorp Inc.,CBNK,Finance,12.5,2,KBW,STPH,,,44.3%,2.4%
42,Sep 26,Entasis Therapeutics Holdings Inc.,ETTX,Health-Care,15.0,5,BMO,CS,,,48.2%,-28.9%
43,Sep 26,Arco Platform Limited,ARCE,Consumer-Services,17.5,11,BAML,GS,MS,,66.2%,34.3%
44,Sep 25,Viomi Technology Co. Ltd,VIOT,Consumer-Durables,9.0,11,CHN,MS,,,105.9%,0.9%
45,Sep 21,Y-mAbs Therapeutics Inc.,YMAB,Health-Care,16.0,6,BAML,COWN,,,41.4%,50%
46,Sep 21,Farfetch Limited,FTCH,Miscellaneous,20.0,44,ALLN,JPM,UBS,,57.5%,42.3%
47,Sep 20,Eventbrite Inc.,EB,Technology,23.0,10,ALLN,GS,JPM,,108.5%,58.7%
48,Sep 20,Bank7 Corp.,BSVN,Finance,19.0,3,KBW,STPH,,,41.3%,0.5%
49,Sep 20,Elanco Animal Health Incorporated,ELAN,Health-Care,24.0,62,GS,JPM,MS,,63.9%,50%
50,Sep 19,X Financial,XYF,Finance,11.5,11,DB,MS,,,59.8%,4.1%
51,Sep 14,Qutoutiao Inc.,QTT,,7.0,12,CITI,DB,,,143.6%,128.1%
52,Sep 14,,,,17.0,6,BAML,LRNK,WLFG,,67.1%,92.1%
53,Sep 14,FVCBankcorp Inc.,FVCB,Finance,20.0,1,RAYJ,SNDL,,,36.7%,0%
54,Sep 12,NIO Inc.,NIO,Capital-Goods,6.3,160,GS,JPM,MS,,41.8%,5.4%
55,Sep 12,111 Inc.,YI,Health-Care,14.0,7,CHN,CITI,JPM,,18.2%,-1.4%
56,Sep 7,,,,10.0,37,DB,,,,7.2%,1.5%
57,Aug 29,,,,10.0,4,CNTR,,,,17.4%,1.3%
58,Aug 21,,,,10.0,5,MXIM,,,,28.2%,0.3%
59,Aug 17,Safe-T Group Ltd.,SFET,Technology,14.4,510,CHRD,,,,4.9%,-23.3%
60,Aug 16,,,,10.0,22,ERLY,,,,9.1%,-4.8%
61,Aug 15,,,,11.7,16,MOLW,,,,0.2%,0%
62,Aug 14,Aridis Pharmaceuticals Inc.,ARDS,Health-Care,13.0,2,CNTR,,,,26%,0%
63,Aug 10,Mesa Air Group Inc.,MESA,Transportation,12.0,9,BAML,RAYJ,,,26.2%,-2.1%
64,Aug 9,Vaccinex Inc.,VCNX,Health-Care,12.0,3,BTIG,OPPN,,,20.6%,-5.2%
65,Aug 9,Pacific City Financial Corporation,PCB,Finance,20.0,2,KBW,,,,6.9%,0%
66,Aug 3,Arlo Technologies Inc.,ARLO,Consumer-Non-Durables,16.0,10,BAML,DB,GGNH,,12.2%,24.7%
67,Aug 2,Cushman & Wakefield plc,CWK,Finance,17.0,45,GS,JPM,MS,,33%,4.8%
68,Jul 27,Adial Pharmaceuticals Inc,ADIL,Health-Care,5.0,1,AGIS,JOGU,MXIM,,19.5%,-19%
69,Jul 27,Endava plc,DAVA,Technology,20.0,6,CITI,CS,DB,,75.5%,26%
70,Jul 27,Opera Limited,OPRA,,12.0,9,CHN,CITI,,,71.9%,9.3%
71,Jul 27,Summit Wireless Technologies Inc.,WISA,Technology,5.0,2,AXND,RFL,WLBT,,5.1%,-6%
72,Jul 26,Aurora Mobile Limited,JG,Technology,8.5,9,CS,DB,GS,,31.5%,3.5%
73,Jul 26,Liquidia Technologies Inc.,LQDA,Health-Care,11.0,4,COWN,JEFF,,,38.7%,0.9%
74,Jul 26,Tenable Holdings Inc.,TENB,Technology,23.0,10,DB,JPM,MS,,88.5%,31.5%
75,Jul 26,Pinduoduo Inc.,PDD,Miscellaneous,25.0,85,CHN,CS,GS,,50.5%,6.8%
76,Jul 26,Focus Financial Partners Inc.,FOCS,Finance,33.0,16,BAML,GS,KKR,,23.7%,13.8%
77,Jul 26,Berry Petroleum Corporation,BRY,Energy,14.0,13,BMO,GS,WLFG,,38.8%,-5.4%
78,Jul 26,Cango Inc.,CANG,,11.0,4,BAML,GS,MS,,21.3%,13.8%
79,Jul 25,Aquestive Therapeutics Inc.,AQST,Health-Care,15.0,4,BMO,RBC,,,69.8%,7%
80,Jul 25,Bloom Energy Corporation,BE,Energy,15.0,18,JPM,MS,,,76.1%,66.7%
81,Jul 24,Provention Bio Inc.,PRVB,Health-Care,4.0,16,MDBC,,,,2.5%,20.3%
82,Jul 20,Replimune Group Inc.,REPL,Health-Care,15.0,6,BMO,JPM,LRNK,,46.6%,1.1%
83,Jul 19,Establishment Labs Holdings Inc.,ESTA,Health-Care,15.0,3,COWN,JEFF,,,52.2%,65%
84,Jul 19,,,,15.0,4,BMO,JPM,JEFF,,59.5%,-23.3%
85,Jul 19,Tilray Inc.,TLRY,Consumer-Durables,17.0,9,COWN,,,,132.4%,31.7%
86,Jul 19,First Western Financial Inc.,MYFW,Finance,19.0,1,KBW,STPH,,,28.3%,3.7%
87,Jul 19,Allakos Inc.,ALLK,Health-Care,18.0,7,GS,JEFF,,,62.2%,73.6%
88,Jul 18,Crinetics Pharmaceuticals Inc.,CRNX,Health-Care,17.0,6,JPM,LRNK,PPRJ,,60%,44.2%
89,Jul 18,Coastal Financial Corporation,CCB,Finance,14.5,2,HOVD,KBW,,,46.8%,13.1%
90,Jul 18,Rubius Therapeutics Inc.,RUBY,Health-Care,23.0,10,JPM,JEFF,MS,,54.8%,5.4%
91,Jul 3,,,,10.0,13,CNTR,,,,13.4%,0.5%
92,Jun 29,Domo Inc.,DOMO,Technology,21.0,9,ALLN,CS,MS,,88.2%,30%
93,Jun 28,BJ`s Wholesale Club Holdings Inc.,BJ,Consumer-Services,17.0,37,BAML,GS,JPM,,56.5%,29.4%
94,Jun 28,Tricida Inc.,TCDA,Health-Care,19.0,11,COWN,GS,JPM,,34.3%,36.8%
95,Jun 28,EverQuote Inc.,EVER,Technology,18.0,4,BAML,JPM,,,3.4%,-17.6%
96,Jun 28,,,,16.0,7,CS,MS,,,36.3%,-5.9%
97,Jun 28,BrightView Holdings Inc.,BV,Consumer-Non-Durables,22.0,21,GS,JPM,UBS,,34.8%,-2.7%
98,Jun 28,,,,10.0,5,ERLY,,,,14.5%,0.7%
99,Jun 28,Neuronetics Inc.,STIM,Health-Care,17.0,5,PPRJ,WB,,,45.5%,63.4%
100,Jun 28,,,,13.0,9,CITI,,LRNK,,32.7%,-11.4%
101,Jun 28,Entera Bio Ltd.,ENTX,Health-Care,8.0,1,MXIM,OPPN,,,20.4%,-21.5%
102,Jun 27,HyreCar Inc.,HYRE,Consumer-Services,5.0,2,NONE,,,,80.6%,2%
103,Jun 27,,,,16.0,6,BAML,MIZU,MS,,39.8%,-6.3%
104,Jun 27,The Lovesac Company,LOVE,Consumer-Services,16.0,3,ROTH,,,,59.5%,49.9%
105,Jun 27,Uxin Limited,UXIN,Miscellaneous,9.0,25,GS,JPM,MS,,79.7%,7.4%
106,Jun 26,,,,13.0,80,JPM,,MS,,1.9%,-3%
107,Jun 22,electroCore Inc.,ECOR,Health-Care,15.0,5,EVCR,JMPS,PPRJ,,35.2%,32.3%
108,Jun 22,Autolus Therapeutics plc,AUTL,Health-Care,17.0,8,GS,JEFF,CITI,,35.7%,47.1%
109,Jun 21,i3 Verticals Inc.,IIIV,Miscellaneous,13.0,6,COWN,KEYB,RAYJ,,77.2%,41.2%
110,Jun 21,,,,14.0,32,BRCL,CITI,GS,,30.6%,-2.6%
111,Jun 21,AVROBIO Inc.,AVRO,Health-Care,19.0,5,COWN,MS,WLFG,,53%,64.2%
112,Jun 21,Magenta Therapeutics Inc.,MGTA,Health-Care,15.0,6,COWN,GS,JPM,,49.3%,-3.2%
113,Jun 21,Kezar Life Sciences Inc.,KZR,Health-Care,15.0,5,COWN,JEFF,WLFG,,34.3%,18.3%
114,Jun 21,Aptinyx Inc.,APTX,Health-Care,16.0,6,BMO,COWN,JPM,,54.8%,26.3%
115,Jun 21,Xeris Pharmaceuticals Inc.,XERS,Health-Care,15.0,5,JEFF,LRNK,RBC,,36.3%,34.8%
116,Jun 20,,,,10.0,18,ERLY,,,,7.8%,0.6%
117,Jun 20,,,,17.0,6,BAML,JPM,,,64.4%,36%
118,Jun 20,LF Capital Acquistion Corp.,LFACU,Finance,10.0,13,FBR,RAYJ,,,17.6%,0%
119,Jun 19,,,,10.0,22,CNTR,CLSA,,,10.8%,0.5%
120,Jun 15,,,,17.0,7,BRCL,CITI,DB,,58.3%,23.5%
121,Jun 15,Avalara Inc.,AVLR,Technology,24.0,7,BAML,GS,JPM,,105%,87.3%
122,Jun 15,Verrica Pharmaceuticals Inc.,VRCA,Health-Care,15.0,5,BAML,COWN,JEFF,,23.3%,16.7%
123,Jun 14,U.S. Xpress Enterprises Inc.,USX,Transportation,16.0,18,BAML,MS,,,35%,4.3%
124,Jun 14,Charah Solutions Inc.,CHRA,Basic-Industries,12.0,7,BAML,MS,,,38.7%,0%
125,Jun 8,MeiraGTx Holdings plc,MGTX,Health-Care,15.0,5,BRCL,BAML,,,40.3%,0%
126,Jun 1,Ambow Education Holding Ltd.,AMBO,Consumer-Services,4.3,1,BNCH,,,,20.8%,-5.2%
127,May 31,,,,5.0,1,NONE,WLBT,WPRK,,32%,4.8%
128,May 30,,,,10.0,17,CHRD,,,,7.6%,0.3%
129,May 25,Iterum Therapeutics plc,ITRM,Health-Care,13.0,6,LRNK,RBC,,,11.9%,-1.2%
130,May 24,Kiniksa Pharmaceuticals Ltd.,KNSA,Health-Care,18.0,8,GS,JPM,,,23.9%,8.2%
131,May 24,Scholar Rock Holding Corporation,SRRK,Health-Care,14.0,5,BMO,COWN,JEFF,,34.8%,10.7%
132,May 24,,,,23.0,38,GS,JPM,MS,,61.4%,1.6%
133,May 24,CLPS Incorporation,CLPS,Technology,5.3,2,CUTN,,,,51.7%,5%
134,May 23,EVO Payments Inc.,EVOP,Miscellaneous,16.0,14,BAML,CITI,JPM,,78.8%,18.9%
135,May 17,,,,15.0,20,BAML,JPM,MS,,73.6%,33.3%
136,May 16,,,,10.0,20,CHRD,COWN,,,14%,0%
137,May 15,,,,10.0,30,FBR,,,,17%,0.1%
138,May 11,HUYA Inc.,HUYA,Technology,12.0,15,CS,GS,UBS,,77.2%,33.8%
139,May 10,AXA Equitable Holdings Inc.,EQH,Finance,20.0,137,BRCL,CITI,JPM,,23.7%,1.7%
140,May 9,Evelo Biosciences Inc.,EVLO,Health-Care,16.0,5,BMO,COWN,MS,,38%,1.6%
141,May 9,Origin Bancorp Inc.,OBNK,Finance,34.0,3,RAYJ,STPH,,,47.6%,10.3%
142,May 4,Construction Partners Inc.,ROAD,Basic-Industries,12.0,11,RAYJ,RWB,STPH,,36.3%,0.8%
143,May 4,,,,21.0,2,KBW,STPH,,,41.4%,4%
144,May 4,ASLAN Pharmaceuticals Limited,ASLN,Health-Care,7.0,6,LRNK,PPRJ,,,13.6%,-20.2%
145,May 4,BayCom Corp,BCML,Finance,22.0,2,DAVD,FIGP,,,9.9%,4.5%
146,May 4,,,,19.0,8,JPM,MS,,,101.5%,26%
147,May 3,Inspire Medical Systems Inc.,INSP,Health-Care,16.0,6,BAML,GS,,,50.8%,56.1%
148,May 3,Unity Biotechnology Inc.,UBX,Health-Care,17.0,5,CITI,GS,MS,,16.8%,-2.1%
149,May 2,,,,17.0,6,GS,UBS,WLFG,,53%,-8.8%
150,Apr 27,DocuSign Inc.,DOCU,Technology,29.0,21,JPM,MS,,,75.5%,37%
151,Apr 27,Goosehead Insurance Inc.,GSHD,Finance,10.0,8,BAML,JPM,,,27%,57.5%
152,Apr 27,Smartsheet Inc.,SMAR,Technology,15.0,11,JPM,JEFF,MS,,79%,30%
153,Apr 26,nLIGHT Inc.,LASR,Technology,16.0,6,RAYJ,Stifel,,,65.1%,68.4%
154,Apr 26,Ceridian HCM Holding Inc.,CDAY,Technology,22.0,21,GS,JPM,,,64.7%,41.9%
155,Apr 20,,,,28.0,1,KBW,RAYJ,,,29.6%,4.5%
156,Apr 20,,,,15.0,37,CITI,GS,MS,,67%,4.9%
157,Apr 19,Surface Oncology Inc.,SURF,Health-Care,15.0,7,COWN,,GS,,57.2%,-11.1%
158,Apr 19,MorphoSys AG,MOR,Health-Care,25.0,8,GS,JPM,,,1.2%,5.7%
159,Apr 19,GrafTech International Ltd.,EAF,Energy,15.0,35,JPM,CS,,,37.1%,-3.7%
160,Apr 18,AGM Group Holdings Inc.,AGMH,Technology,5.0,1,NONE,,,,22.3%,26%
161,Apr 13,,,,10.0,36,ERLY,OPPN,,,18.5%,1.2%
162,Apr 12,Zuora Inc.,ZUO,Technology,14.0,11,ALLN,GS,JEFF,,119%,42.9%
163,Apr 3,Spotify Technology S.A.,SPOT,Consumer-Services,165.9,55,,,,,54.8%,-10.2%
164,Mar 29,iQIYI Inc.,IQ,Consumer-Services,18.0,125,BAML,CS,GS,,63.8%,-13.6%
165,Mar 29,Genprex Inc.,GNPX,Health-Care,5.0,1,NONE,,,,11.5%,-6%
166,Mar 29,,,,12.0,5,COWN,MS,,,23.9%,-7.4%
167,Mar 28,Homology Medicines Inc.,FIXX,Health-Care,16.0,9,BAML,COWN,,,32.9%,16.6%
168,Mar 28,Bilibili Inc.,BILI,Technology,11.5,42,BAML,JPM,MS,,56.9%,-2.3%
169,Mar 28,,,,11.0,16,DB,,,,37.1%,-1.8%
170,Mar 28,OP Bancorp,OPBK,Finance,11.0,2,KBW,,,,87.6%,11.3%
171,Mar 27,GreenTree Hospitality Group Ltd.,GHG,Consumer-Services,14.0,10,BAML,MS,UBS,,40.3%,-7.1%
172,Mar 23,Dropbox Inc.,DBX,Technology,21.0,36,BAML,GS,JPM,,155.4%,35.6%
173,Mar 23,Sunlands Online Education Group,STG,Consumer-Services,11.5,13,CS,GS,JPM,,53.2%,-3.5%
174,Mar 22,,,,25.0,10,CS,,,,0.1%,2%
175,Mar 20,,,,4.0,1,VWTR,,,,19.6%,15.5%
176,Mar 16,Zscaler Inc.,ZS,Technology,16.0,12,GS,MS,,,140.8%,106.3%
177,Mar 19,Senmiao Technology Limited,AIHS,Finance,4.0,3,VWTR,,,,7.8%,41.3%
178,Mar 16,,,,10.0,15,CNTR,DWLN,,,10.5%,0.2%
179,Mar 15,Arcus Biosciences Inc.,RCUS,Health-Care,15.0,8,CITI,GS,LRNK,,70%,13.3%
180,Mar 14,,,,10.0,10,ERLY,,,,14.5%,0.2%
181,Mar 14,Bridgewater Bancshares Inc.,BWB,Finance,11.8,6,DAVD,,,,40.2%,7.4%
182,Mar 8,BioXcel Therapeutics Inc.,BTAI,Health-Care,11.0,59,BRCL,BMO,UBS,,3.2%,0.3%
183,Feb 16,,,,10.0,25,DB,GS,,,15%,0%
184,Feb 16,FARMMI INC.,FAMI,Consumer-Non-Durables,4.0,1,VWTR,,,,6.2%,54.5%
185,Feb 14,,,,9.9,1,BNCH,,,,45.2%,23.3%
186,Feb 14,Motus GI Holdings Inc.,MOTS,Health-Care,5.0,3,OPPN,PPRJ,,,18.6%,-12.4%
187,Feb 9,,,,10.0,9,BAML,SMNS,,,20.8%,-10%
188,Feb 9,Cardlytics Inc.,CDLX,Technology,13.0,5,BAML,JPM,,,57.3%,2.8%
189,Feb 8,Evolus Inc.,EOLS,Health-Care,12.0,5,CNTR,MIZU,,,26.2%,-4.2%
190,Feb 8,,,,11.0,10,CRNS,CRNS,CITI,,59.2%,2.3%
191,Feb 8,Mudrick Capital Acquisition Corporation,MUDSU,Finance,10.0,20,CNTR,,,,13%,0%
192,Feb 8,Victory Capital Holdings Inc.,VCTR,Finance,13.0,11,BAML,JPM,MS,,32.2%,-10.8%
193,Feb 8,Cactus Inc.,WHD,Energy,19.0,23,CITI,CS,,,65%,6.6%
194,Feb 5,,,,5.0,4,BOTD,,,,5.8%,-28.2%
195,Feb 2,,,,18.0,19,CS,MS,,,65.7%,14.5%
196,Feb 2,Central Puerto S.A.,CEPU,Public-Utilities,16.5,20,BAML,JPM,,,31.2%,7.3%
197,Feb 1,Corporacion America Airports SA,CAAP,Transportation,17.0,28,OPPN,,,,36.4%,-3.5%
198,Feb 1,One Stop Systems Inc.,OSS,Technology,5.0,3,ROTH,,,,37.2%,-2.4%
199,Feb 1,,,,19.0,39,CS,MS,UBS,,35.7%,-7.4%
200,Feb 1,,,,18.5,818,ROTH,TPNT,,,19.3%,-18.2%
201,Feb 1,Sol-Gel Technologies Ltd.,SLGL,Health-Care,12.0,6,JEFF,BMO,,,39%,13.7%
202,Feb 1,VICI Properties Inc.,VICI,Consumer-Services,20.0,60,BAML,GS,MS,,40.7%,0.9%
203,Jan 30,,,,10.0,5,ERLY,,,,15.8%,0.7%
204,Jan 26,PlayAGS Inc.,AGS,Consumer-Durables,16.0,10,CS,DB,,,52.5%,15.6%
205,Jan 26,Solid Biosciences Inc.,SLDB,Health-Care,16.0,7,GS,JPM,LRNK,,42.3%,41.4%
206,Jan 26,,,,15.0,5,BAML,EVCR,LRNK,,42%,12.5%
207,Jan 25,Eyenovia Inc.,EYEN,Health-Care,10.0,2,LDNT,ROTH,,,39.2%,-0.8%
208,Jan 25,,,,10.0,12,FBR,,,,22.2%,0%
209,Jan 25,Gates Industrial Corporation plc,GTES,Technology,19.0,38,CITI,MS,UBS,,51.6%,-2.6%
210,Jan 25,,,,17.0,7,GGNH,JEFF,PPRJ,,75%,68.9%
211,Jan 24,PagSeguro Digital Ltd.,PAGS,Technology,21.5,105,GS,MS,,,54%,35.8%
212,Jan 19,Nine Energy Service Inc.,NINE,Energy,23.0,7,GS,JPM,WLFG,,88.3%,13.5%
213,Jan 19,ADT Inc.,ADT,Consumer-Services,14.0,105,GS,MS,,,64.9%,-11.5%
214,Jan 19,,,,16.0,45,BAML,JPM,RBC,,40.1%,11.1%
215,Jan 12,,,,10.0,30,BAML,DB,,,7.3%,0.1%
216,Jan 12,,,,24.0,20,CITI,RBC,UBS,,37.6%,-2.7%
217,Jan 12,Liberty Oilfield Services Inc.,LBRT,Energy,17.0,12,GS,MS,WLFG,,82.1%,27.9%
218,Jan 10,,,,10.0,25,DB,GS,,,13.7%,0.2%
219,Jan 10,Cue Biopharma Inc.,CUE,Health-Care,7.5,8,FLTI,MDBC,,,4%,55.1%
220,Jan 10,Microsoft Corporation,MSFT,Technology,7.5,8,FLTI,MDBC,,,4%,55.1%
221,Dec 27,Puhui Wealth Investment Management Co Ltd,PHCF,,6.0,2,,,,,0.7%,-0.8%
222,Dec 19,Mercantil Bank Holding Corporation,AMTB,Finance,13.0,6,KBW,RAYJ,,,8.8%,0%
223,Dec 18,Aptorum Group Limited,APM,,15.8,1,,BOTD,CRNS,,1.2%,-9.2%
224,Dec 14,Legacy Housing Corporation,LEGH,Basic-Industries,12.0,4,CHRD,,,,69.6%,0.2%
225,Dec 14,360 Finance Inc,QFIN,Finance,16.5,3,,FBR,,,19.3%,0%
226,Dec 13,,,,10.0,25,,CITI,GS,,7%,0.1%
227,Dec 12,encent Music Entertainment Group,TME,,13.0,82,BAML,DB,GS,,73.5%,7.7%
228,Dec 11,Schultze Special Purpose Acquisition Corp,SAMAU,Finance,10.0,13,BTIG,ERLY,,,19.3%,-0.5%
229,Dec 7,,,,11.0,11,EVCR,JEFF,LRNK,,5.5%,14.6%
230,Dec 7,DiaMedica Therapeutics Inc,DMAC,Health-Care,10.0,4,CHLM,,,,27.4%,-69%
231,Dec 7,Moderna Inc,MRNA,Health-Care,23.0,26,GS,JPM,MS,,49.4%,-19.1%
232,Dec 6,MOGU Inc,MOGU,Miscellaneous,14.0,4,CRNS,CS,MS,,71.6%,0%
233,Nov 28,Medalist Diversified REIT Inc,MDRR,Consumer-Services,10.0,240,MXIM,,,,8.9%,-6%
234,Nov 21,,,,5.8,3,CNTR,,,,1.4%,0%
235,Nov 20,Tiziana Life Sciences plc,TLSA,Health-Care,9.9,442,LDLW,,,,3.9%,-15.7%
236,Nov 20,TuanChe Limited,TC,Miscellaneous,7.8,2,,,,,7.8%,0.4%
237,Nov 16,,,,10.0,20,JEFF,,,,17.8%,0%
238,Nov 16,,,,10.0,20,BAML,MQRE,,,31%,0%
239,Nov 16,,,,10.0,30,CNTR,,,,6.8%,0.4%
0,Feb 7,Alector Inc.,ALEC,,19.0,9,MS,BAML,COWN,,39.2%,-4.8%
1,Feb 14,Avedro Inc,AVDR,,14.0,5,BAML,JPM,,,68.2%,-11.8%
2,Jan 8,,,,4.0,1,WPRK,,,,10%,48.5%
3,Jan 31,New Fortress Energy LLC,NFE,,14.0,20,MS,BRCL,CITI,,20.2%,-6.6%
4,Feb 8,Harpoon Therapeutics Inc.,HARP,,14.0,5,CITI,LRNK,,,24.3%,-3.6%
5,Feb 8,Gossamer Bio Inc.,GOSS,,16.0,17,BAML,LRNK,BRCL,,34.2%,12.1%
6,Feb 12,,,,11.5,2,OPPN,,,,24.5%,-6.1%
7,Feb 14,,,,15.0,5,JEFF,LRNK,BMO,,12.3%,0.5%
8,Feb 15,Stealth BioTherapeutics Corp.,MITO,,12.0,6,JEFF,EVCR,BMO,,17.5%,-0.8%
