Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Month/Date,Month of Quarter,Real GDP Per Capita,OECD Leading Indicator,Interest Rate,Seasonally Adjusted Unemployment Rate,CPI Growth Rate,Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Underpriced
STEL,Stellar Bancorp Inc,-3.3,24.9,0.8,71.76,24.8231,26,10.42307663,645.401,11/8/17,858927106,1.4,71.76,24.8231,38.0393,19893700,11/1/17,10/1/17,55877.00,100.3158857,1.75,4.25663681,0.002432469,24 - 26,Priced Within Range,3,9,121,1
STIM,Neuronetics Inc,12.3,-56.3,-27.8,107.525,17.5706,17,63.41176605,284.675,6/28/18,64131A105,-1.1,107.525,17.5706,81.8422,22278700,6/1/18,4/1/18,56512.00,100.6340823,2.5,4.03458096,0.15938757,14 - 16,Priced Above Range,0,0,0,1
STML,Stemline Therapeutics Inc,8543.3,-177.7,-46,38.152,7.4585,10,18,74.58,1/29/13,85858C107,-1.6,38.152,7.4585,23.873,12535900,1/1/13,1/1/13,51998.00,100.0401909,0.75,8.002806341,0.295730419,12-Oct,Priced Within Range,0,21,29,1
STOR,STORE Capital Corp,12.7,34.2,3.2,585.062,115.043,18.5,5.405405521,2051.98,11/18/14,862121100,2.1,585.062,115.043,103.043,291287000,11/1/14,10/1/14,53464.00,100.7732648,0.75,5.911112923,-0.539941794,17 - 19,Priced Within Range,3,3,230,1
STPK/U,Stem Inc,250.8,-79.4,2.5,383.585,38.3585,10,0,383.585,8/18/20,855185203,-0.9,383.585,38.3585,0.0158984,7623,8/1/20,7/1/20,56484.00,98.41453353,0.25,8.302616451,0.315321052,10-Oct,Priced Within Range,2,15,19,0
STRI,STR Holdings Inc,-19.6,-52.9,-32.9,139.95,41.3497,10,31,413.5,11/6/09,78478V209,-0.2,139.95,41.3497,4.96E-06,1,11/1/09,10/1/09,49886.00,98.58341245,0.5,10.03839153,0.070775337,13-Nov,Priced Below Range,8,42,245,1
STRO,Sutro Biopharma Inc,44.8,-170.5,-31.7,85.005,22.8236,15,1.333333373,342.354,9/27/18,869367102,-1.7,85.005,22.8236,85.6075,49203300,9/1/18,7/1/18,56831.00,100.4151294,2.75,3.746935562,0.116202518,14 - 16,Priced Within Range,0,21,29,1
STRR,Star Equity Holdings Inc,36.3,-2.8,-15,66,17.9986,12,-1.916666627,215.98,6/10/04,85513Q103,-1.2,66,17.9986,4.91144,743529,6/1/04,4/1/04,48905.00,100.8993806,2.25,5.646463306,0.317292438,14-Dec,Priced Within Range,0,0,250,0
STTK,Shattuck Labs Inc,202.1,-149.8,-21.3,232.302,41.7443,17,13.82352924,709.653,10/9/20,82024L103,-1.3,232.302,41.7443,52.9738,22455900,10/1/20,10/1/20,57005.00,98.98453016,0.25,7.145794405,0.041493776,14 - 16,Priced Above Range,0,21,29,1
STWD,Starwood Property Trust Inc,12.7,30,0.9,931.5,48.4575,20,0,969.15,8/12/09,85571B105,-3.4,931.5,48.4575,47.5806,147302000,8/1/09,7/1/09,49473.00,97.28828582,0.5,9.719974615,0.224285004,20 - 20,Priced Within Range,3,3,6,0
STXB,Spirit of Texas Bancshares Inc,-1.9,30.1,1.3,48.3,9.6916,21,4.047618866,203.524,5/4/18,84861D103,3.1,48.3,9.6916,2.47182,431477,5/1/18,4/1/18,56512.00,100.6574226,2.25,3.818462099,0.415891693,20 - 22,Priced Within Range,3,9,44,1
STXS,Stereotaxis Inc,31.5,-30.6,-30.1,47.6988,26.634,8,-2.25,213.07,8/12/04,85916J409,-0.0389886,47.6988,26.634,48.3627,36197000,8/1/04,7/1/04,49243.00,100.6961111,2.5,5.45422641,0.05279831,10-Aug,Priced Within Range,0,22,78,0
SUM,Summit Materials Inc,3.3,6.3,6.7,459.9,26.581,18,16.5,418.518,3/12/15,86614U100,3,459.9,26.581,114.115,132814000,3/1/15,1/1/15,53806.00,100.4217937,0.75,5.536422193,0.595172161,17 - 19,Priced Within Range,8,47,102,1
SUMO,Sumo Logic Inc,19.4,-50.9,-22.7,374.44,100.91,22,22.18181801,2220.02,9/17/20,86646P103,-0.2,374.44,100.91,86.3772,102398000,9/1/20,7/1/20,56484.00,98.66695103,0.25,8.083785823,0.139274694,17 - 21,Priced Above Range,1,5,82,1
SUN,Sunoco LP,64.3,2.9,8.5,223.962,10.9394,20.5,11.75609779,224.26,9/20/12,86765K109,6.5,223.962,10.9394,30.6568,25679100,9/1/12,7/1/12,51684.00,99.65527109,0.75,7.942766623,0.446221227,19 - 21,Priced Within Range,2,28,68,1
SUNS,SLR Senior Investment Corp,-7.8,39.3,1.8,184,9.7,20,-2,194,2/25/11,83416M105,-11.8,184,9.7,0.202287,32465.1,2/1/11,1/1/11,50646.00,100.3052137,0.75,9.152159044,0.493136503,20 - 20,Priced Within Range,3,24,37,0
SUPN,Supernus Pharmaceuticals Inc,11.4,9.2,3.5,52.2463,24.3613,5,7.400000095,121.81,5/1/12,868459108,2.3,52.2463,24.3613,108.888,58862900,5/1/12,4/1/12,51702.00,99.83138197,0.75,8.313429668,-0.117347937,5-May,Priced Within Range,0,13,15,1
SURF,Surface Oncology Inc,-97.8,-2920.9,-35.8,108,27.5973,15,-11.13333321,413.959,4/19/18,86877M209,-1.4,108,27.5973,58.5803,35465900,4/1/18,4/1/18,56512.00,100.6581149,2.25,4.024101718,0.397509156,13 - 15,Priced Within Range,0,21,29,0
SWAV,Shockwave Medical Inc,249.8,-3.8,22.7,111.435,27.7618,17,79.41176605,471.951,3/7/19,82489T104,0.4,111.435,27.7618,108.725,39295800,3/1/19,1/1/19,57100.00,99.65446855,3,3.861910727,0.564135836,14 - 16,Priced Above Range,0,22,61,1
SWCH,Switch Inc,15.7,0.9,12.9,610.938,35.9375,17,22.58823586,610.938,10/6/17,87105L104,1.9,610.938,35.9375,96.9042,153063000,10/1/17,10/1/17,55877.00,100.2302312,1.75,4.165125132,-0.06320421,14 - 16,Priced Above Range,4,23,143,1
SWI,SolarWinds Corp,0.2,-7.1,-22.6,375,309.942,15,0.200000003,4649.13,10/19/18,83417Q204,0.9,375,309.942,99.5634,160966000,10/1/18,10/1/18,56851.00,100.2681725,2.75,3.822420119,0.176676346,15 - 16,Priced Within Range,1,5,82,1
SXC,SunCoke Energy Inc,9.2,2.9,6.2,213.44,70,16,6.25,1120,7/21/11,86722A103,2.8,213.44,70,91.384,76216400,7/1/11,7/1/11,50769.00,99.50703914,0.75,9.061306168,0.088604567,15 - 17,Priced Within Range,2,35,62,1
SXCP,SunCoke Energy Partners LP,5.5,6.4,3,256.5,31.42,19,-3.947368383,596.98,1/18/13,86722Y101,3.5,256.5,31.42,0.0278191,12860,1/1/13,1/1/13,51998.00,100.0401909,0.75,8.002806341,0.295730419,19 - 21,Priced Within Range,2,35,62,0
SXEEQ,Southcross Energy Partners LLC,-7.1,-82.1,-67.3,207,13.5637,20,11.75,271.27,11/2/12,84130C100,0.2,207,13.5637,54.4042,26492100,11/1/12,10/1/12,51634.00,99.80309801,0.75,7.867321051,-0.473808669,19 - 21,Priced Within Range,2,2,2,1
SYBX,Synlogic Inc,221.8,-3452.7,-41.7,48.685,20.7617,7,0.714285731,140.397,10/1/15,87166L100,-0.9,48.685,20.7617,59.9447,42272900,10/1/15,10/1/15,54045.00,99.52145458,0.75,5.19705592,-0.044968375,7-Jul,Priced Within Range,0,21,29,1
SYCRF,Syncora Holdings Ltd,69.2,-29.7,-2.7,480.518,64.1364,20.5,0,1314.8,8/2/06,N.A.,-1.5,480.518,64.1364,2.62111,2274260,8/1/06,7/1/06,51155.00,101.0490492,6.25,4.702793916,0.196560197,21 - 23,Priced Below Range,3,18,251,0
SYF,Synchrony Financial,-4.3,26.8,3.3,2955.36,833.765,23,0,19176.6,7/31/14,87165B103,12.5,2955.36,833.765,120.334,542154000,7/1/14,7/1/14,53340.00,100.8354317,0.75,6.275748001,-0.039019396,23 - 26,Priced Within Range,3,26,152,0
SYNA,Synaptics Inc,29.8,14.8,12.2,63.25,22.7821,11,19.18181801,250.6,1/28/02,87157D109,11.8,63.25,22.7821,103.689,41341700,1/1/02,1/1/02,46683.00,98.96474354,1.25,5.793320266,0.226372383,11-Sep,Priced Within Range,1,4,4,1
SYNC,Synacor Inc,-33.2,-14.2,-16.1,34.091,25.583,5,5,127.91,2/10/12,871561106,0.0263018,34.091,25.583,15.127,6035110,2/1/12,1/1/12,51559.00,99.86369756,0.75,8.372612628,0.440297355,6-May,Priced Within Range,4,8,187,1
SYNH,Syneos Health Inc,18,4.5,3.5,172.5,51.1999,18.5,10.75675678,947.198,11/7/14,87166B102,4.3,172.5,51.1999,102.059,105023000,11/1/14,10/1/14,53464.00,100.7732648,0.75,5.911112923,-0.539941794,17 - 20,Priced Within Range,0,0,0,1
SYRS,Syros Pharmaceuticals Inc,55.6,-368.5,-60.8,57.5,23.36,12.5,45.20000076,292,6/30/16,87184Q206,-15.9,57.5,23.36,45.1144,9124810,6/1/16,4/1/16,54334.00,99.18337219,1,4.950735144,0.328436617,14 - 16,Priced Below Range,0,13,15,1
TAST,Carrols Restaurant Group Inc,6.7,-2.6,-4.3,143,21.6255,13,16.92307663,281.13,12/15/06,14574X104,1.4,143,21.6255,29.836,15894600,12/1/06,10/1/06,51455.00,101.3989179,6.25,4.52174096,0.148883375,14 - 16,Priced Below Range,5,17,33,1
TBIO,Translate Bio Inc,1678.7,-38.7,5.9,126.287,45.1421,13,-11.38461494,586.847,6/28/18,89374L104,3.5,126.287,45.1421,6.61551,5000450,6/1/18,4/1/18,56512.00,100.6340823,2.5,4.03458096,0.15938757,14-Dec,Priced Within Range,0,21,29,0
TBK,Triumph Bancorp Inc,15.5,26.6,1.9,92.46,17.5918,12,6.25,211.102,11/7/14,8.97E+304,5.5,92.46,17.5918,91.9719,22513100,11/1/14,10/1/14,53464.00,100.7732648,0.75,5.911112923,-0.539941794,14 - 16,Priced Below Range,3,9,44,1
TBNK,Territorial Bancorp Inc,-12.7,28.8,0.7,122.331,0,10,49.90000153,0,7/13/09,88145X108,1.3,122.331,0,47.2662,4307680,7/1/09,7/1/09,49473.00,96.79970831,0.5,9.515989208,-0.158558692,10-Oct,Priced Within Range,3,20,100,1
TBRGU,Repay Holdings Corp,41.4,-22.8,-0.5,258,25.8,10,0.5,258,6/19/18,N.A.,0.6,258,25.8,0.0628295,16210,6/1/18,4/1/18,56512.00,100.6340823,2.5,4.03458096,0.15938757,10-Oct,Priced Within Range,0,7,115,1
TCBI,Texas Capital Bancshares Inc,-18.3,28,0.5,75.9,24.4264,11,9,268.69,8/13/03,88224Q107,13,75.9,24.4264,112.82,56296200,8/1/03,7/1/03,48012.00,99.24404837,2,6.125750534,0.380641653,12-Oct,Priced Within Range,3,9,44,1
TCMD,Tactile Systems Technology Inc,11.1,-5.6,-12,41.2,16.769,10,10.80000019,167.69,7/28/16,87357P100,0.1,41.2,16.769,103.871,20934900,7/1/16,7/1/16,54549.00,99.20439166,1,4.892736309,-0.16181364,10-Oct,Priced Within Range,0,22,61,1
TCPC,BlackRock TCP Capital Corp,-4,81,3.9,84.8125,21.4756,14.75,-1.355932236,316.77,4/4/12,9.26E+111,-1.4,84.8125,21.4756,32.9403,19028700,4/1/12,4/1/12,51702.00,99.90659148,0.75,8.305796918,0.30210295,14.75 - 14.75,Priced Within Range,3,24,37,0
TCS,Container Store Group Inc/The,10.5,7.4,5.4,258.75,47.9229,18,101.1111145,862.61,11/1/13,210751103,1.1,258.75,47.9229,88.154,44631200,11/1/13,10/1/13,52544.00,100.6507643,0.75,7.112790148,-0.204242419,17 - 18,Priced Within Range,5,17,181,1
TDG,TransDigm Group Inc,-5.9,14.1,4.2,264.551,45.8448,21,14.76190472,962.74,3/15/06,893641100,16.2,264.551,45.8448,117.854,64082600,3/1/06,1/1/06,51200.00,101.1999495,5.75,4.755322261,0.55359839,20 - 22,Priced Within Range,8,45,98,1
TDOC,Teladoc Health Inc,85.8,-21,-76.5,180.262,38.2838,19,50,703.88,7/1/15,87918A105,1.2,180.262,38.2838,101.005,163554000,7/1/15,7/1/15,54081.00,99.98278579,0.75,5.338603251,0.006704716,15 - 17,Priced Above Range,0,0,35,1
TEAR,TearLab Corp,-9.3,-23.9,-38.1,100.8,41.7596,12,0,501.12,12/8/04,878193200,-0.0783316,100.8,41.7596,0.0393269,9600,12/1/04,10/1/04,49623.00,100.4972747,3.25,5.46561248,-0.366492147,12-Oct,Priced Within Range,0,22,32,0
TELA,Tela Bio Inc,61.7,-112.9,-64.7,52,11.0068,13,2.692307711,143.088,11/8/19,872381108,-2.1,52,11.0068,102.634,19663700,11/1/19,10/1/19,58017.00,99.29162222,2.25,3.618104556,-0.053624303,14 - 16,Priced Below Range,0,21,29,1
TENB,Tenable Holdings Inc,22.9,-8.6,-6.5,288.305,92.7145,23,31.52173996,2132.43,7/26/18,88025T102,0.9,288.305,92.7145,97.0136,109154000,7/1/18,7/1/18,56831.00,100.5899154,2.5,3.862981324,0.006746326,20 - 22,Priced Above Range,1,1,127,1
TEP,Tallgrass Energy Partners LP,9.4,28.6,4.1,313.9,25.85,21.5,0,555.77,5/14/13,874697105,3.8,313.9,25.85,0.788521,577233,5/1/13,4/1/13,51982.00,100.4875479,0.75,7.705884828,0.178040777,21 - 23,Priced Within Range,2,2,2,0
TERP,TerraForm Power Inc,22.7,-15.8,-1.9,576.87,30.7372,25,32.36000061,768.43,7/18/14,88104R209,1.5,576.87,30.7372,100.493,227649000,7/1/14,7/1/14,53340.00,100.8354317,0.75,6.275748001,-0.039019396,23 - 25,Priced Within Range,2,15,19,1
TGE,Tallgrass Energy LP,9.4,28.6,4.1,1384.03,47.725,29,9.482758522,1203.5,5/7/15,874696107,3.8,1384.03,47.725,32.1619,57773300,5/1/15,4/1/15,54021.00,100.231857,0.75,5.674303505,0.509723203,24 - 27,Priced Above Range,2,2,2,1
TGH,Textainer Group Holdings Ltd,28.2,33.3,4.2,148.5,47.6046,16.5,3.030303001,785.48,10/10/07,N.A.,12.3,148.5,47.6046,86.4407,38851700,10/1/07,10/1/07,52066.00,101.6347884,5,4.768472729,0.213919133,19 - 21,Priced Below Range,0,7,18,1
THCBU,Microvast Holdings Inc,41.3,-135.8,-40.3,276,24.135,10,1.299999952,241.35,3/5/19,90069K203,-0.2,276,24.135,0.0142903,4032,3/1/19,1/1/19,57100.00,99.65446855,3,3.861910727,0.564135836,10-Oct,Priced Within Range,5,38,69,1
THR,Thermon Group Holdings Inc,28.7,5.6,5.8,127.8,29.51,12,2.333333254,354.12,5/5/11,88362T103,0.8,127.8,29.51,102.154,34214700,5/1/11,4/1/11,50897.00,100.0117096,0.75,9.203184599,0.470418753,14-Dec,Priced Within Range,8,36,164,1
TIG,Trean Insurance Group Inc,7.7,8.8,1.7,178.821,51.1429,15,3.400000095,767.144,7/16/20,89457R101,1.8,178.821,51.1429,31.7034,16238700,7/1/20,7/1/20,56484.00,97.81746245,0.25,9.875006693,0.50582435,13 - 15,Priced Within Range,3,18,118,1
TIPT,Tiptree Inc,48.1,3.1,-0.2,225,21.0124,15,-10,315.19,6/22/07,88822Q103,6.1,225,21.0124,34.6172,12549600,6/1/07,4/1/07,51705.00,101.934506,6.25,4.614935452,0.193797518,15 - 17,Priced Within Range,3,18,25,0
TISUQ,Orchids Paper Products Co,14.8,-20.1,-11,17.25,3.875,8,6.25,31,7/15/05,68572N104,-1.6,17.25,3.875,12.7644,1362010,7/1/05,7/1/05,50470.00,100.3384397,4.25,5.02888944,0.462724936,9-Jul,Priced Within Range,6,63,252,1
TITN,Titan Machinery Inc,21.3,3.8,9,58.65,12.2289,8.5,11.52941132,103.95,12/6/07,88830R101,7.1,58.65,12.2289,87.8039,19815500,12/1/07,10/1/07,52066.00,101.4058565,4.75,5.050630757,-0.067086313,7.50 - 9.50,Priced Within Range,5,58,197,1
TLND,Talend SA,15.9,-27.6,-22.7,108.675,6.0375,18,41.66666794,108.675,7/29/16,874224207,-0.8,108.675,6.0375,129.149,42502400,7/1/16,7/1/16,54549.00,99.20439166,1,4.892736309,-0.16181364,15 - 17,Priced Above Range,1,5,82,1
TLRA,Telaria Inc,23.3,-13.2,-4.1,75,49.4231,10,-15,494.23,6/27/13,879181105,0.0497553,75,49.4231,10.7216,5151440,6/1/13,4/1/13,51982.00,100.5692261,0.75,7.657716977,0.239970809,13-Nov,Priced Below Range,4,19,253,0
TLS,Telos Corp,34.7,-17.7,-15.8,292.641,62.0853,17,19.35294151,1055.45,11/19/20,87969B101,0.1,292.641,62.0853,67.4849,45357000,11/1/20,10/1/20,57005.00,99.33764341,0.25,6.992358599,-0.061062722,16 - 18,Priced Within Range,1,1,21,1
TLYS,Tilly's Inc,45.9,8.2,7.1,142.6,8,15.5,8.451612473,124,5/4/12,886885102,2,142.6,8,84.1695,19194500,5/1/12,4/1/12,51702.00,99.83138197,0.75,8.313429668,-0.117347937,11.50 - 13.50,Priced Above Range,5,17,23,1
TMDX,TransMedics Group Inc,18,-146.1,-20.7,104.696,20.0996,16,39.75,321.594,5/2/19,89377M109,-1,104.696,20.0996,105.981,33833600,5/1/19,4/1/19,57418.00,99.50838434,3,3.645931768,0.212875859,15 - 17,Priced Within Range,0,21,29,1
TMHC,Taylor Morrison Home Corp,22.3,8.8,12.3,722.854,28.572,22,4.727272511,628.58,4/10/13,87724P106,2.9,722.854,28.572,103.387,112017000,4/1/13,4/1/13,51982.00,100.384401,0.75,7.675765434,-0.103963948,20 - 22,Priced Within Range,5,51,131,1
TMS,Tms International Holding Corp,-5,1,3.1,167.44,34.626,13,-7.692307472,450.14,4/14/11,87261Q103,3,167.44,34.626,3.26085,481480,4/1/11,4/1/11,50897.00,100.1934599,0.75,9.277005673,0.643942954,15 - 17,Priced Below Range,0,7,45,0
TMUS,T-Mobile US Inc,17.1,3.7,0.7,1322.5,346.248,23,19.13043404,7963.7,4/18/07,872590104,14.4,1322.5,346.248,44.3545,551838000,4/1/07,4/1/07,51705.00,101.8191092,6.25,4.572674984,0.649616269,19 - 21,Priced Above Range,4,23,254,1
TMX,Terminix Global Holdings Inc,4.2,6.1,1.4,701.845,133.13,17,5.588235378,2263.21,6/26/14,8.81E+104,2,701.845,133.13,118.483,144020000,6/1/14,4/1/14,52840.00,100.8107011,0.75,6.174444118,0.186212694,18 - 21,Priced Below Range,0,7,124,1
TNAV,Telenav Inc,22.2,-0.3,-2.1,64.4,41.924,8,22.5,335.39,5/13/10,879455103,0.5,64.4,41.924,20.6203,9897750,5/1/10,4/1/10,50424.00,99.71018858,0.75,9.847744849,0.077519735,10-Sep,Priced Below Range,5,38,69,1
TNDM,Tandem Diabetes Care Inc,40.8,2.2,-7.1,138,22.578,15,28.39999962,338.67,11/14/13,875372203,1.7,138,22.578,112.349,72238900,11/1/13,10/1/13,52544.00,100.6507643,0.75,7.112790148,-0.204242419,13 - 15,Priced Within Range,0,22,241,1
TNET,TriNet Group Inc,12.5,7.4,12.2,276,68.3252,16,19.375,1093.2,3/27/14,896288107,3.3,276,68.3252,99.3042,61797100,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,15 - 17,Priced Within Range,0,7,73,1
TNTRQ,Tintri Inc,0.6,-125.2,-174,67.004,31.3881,7,3.857142925,219.717,6/30/17,88770Q105,-4.6,67.004,31.3881,0.0961617,32300,6/1/17,4/1/17,55057.00,99.9382068,1.75,4.359433085,0.090711101,8-Jul,Priced Within Range,1,5,82,1
TORCQ,Torch Offshore Inc,-3.5,-14,-11.7,80,13.3333,16,3.9375,213.33,6/7/01,891019101,0.8,80,13.3333,0.0197739,2500,6/1/01,4/1/01,46698.00,98.37369592,3.47,4.600539781,0.16882386,14 - 16,Priced Within Range,2,29,46,1
TOWR,Tower International Inc,-20.9,3.1,0.8,86.2384,19.102,13,0,248.326,10/15/10,891826109,8.3,86.2384,19.102,0.858753,177680,10/1/10,10/1/10,50859.00,99.75772772,0.75,9.681642739,0.124519889,15 - 17,Priced Below Range,5,38,69,0
TPB,Turning Point Brands Inc,9.9,11.6,6.4,54,15.956,10,1.200000048,159.56,5/11/16,90041L105,3.6,54,15.956,99.2885,17439000,5/1/16,4/1/16,54334.00,99.17131936,1,4.882282302,0.4045791,13 - 15,Priced Below Range,0,49,189,1
TPGH/U,Accel Entertainment Inc,132.2,4.3,7.8,450,45,10,2.5,450,6/28/17,N.A.,1.1,450,45,6.35933,3370620,6/1/17,4/1/17,55057.00,99.9382068,1.75,4.359433085,0.090711101,10-Oct,Priced Within Range,5,16,176,1
TPH,Tri Pointe Homes Inc,22.1,11.7,11.8,267.621,31.5979,17,12.05882359,537.16,1/31/13,87265H109,3.7,267.621,31.5979,121.896,123010000,1/1/13,1/1/13,51998.00,100.0401909,0.75,8.002806341,0.295730419,14 - 16,Priced Above Range,5,51,131,1
TPIC,TPI Composites Inc,3.7,-9.2,-11.5,79.0625,33.7369,11,23.27272797,371.106,7/22/16,87266J104,-0.6,79.0625,33.7369,105.916,44433000,7/1/16,7/1/16,54549.00,99.20439166,1,4.892736309,-0.16181364,12-Nov,Priced Within Range,2,15,19,1
TPR,Tapestry Inc,16.3,12.8,10.9,118.08,42.4063,16,26.953125,678.5,10/5/00,876030107,3.2,118.08,42.4063,102.988,248161000,10/1/00,10/1/00,46777.00,99.82727924,6,3.921346643,0.172711572,14 - 16,Priced Within Range,5,25,38,1
TPTX,Turning Point Therapeutics Inc,23.3,-767.3,-35.1,191.475,31.0422,18,60.55555725,558.76,4/17/19,90041T108,-3.1,191.475,31.0422,44.282,22173900,4/1/19,4/1/19,57418.00,99.58445085,3,3.5977807,0.529500161,16 - 18,Priced Within Range,0,21,29,1
TPVG,TriplePoint Venture Growth BDC,-4.1,87.6,0.6,143.749,9.842,15,4.333333492,147.63,3/6/14,89677Y100,-4.6,143.749,9.842,26.9865,9521380,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,15 - 15,Priced Within Range,3,24,37,1
TPX,Tempur Sealy International Inc,34.1,12.6,12,301.875,97.2665,14,10.71428585,1361.73,12/18/03,88023U101,3.6,301.875,97.2665,110.282,188565000,12/1/03,10/1/03,48450.00,100.6010521,2,5.783101078,-0.108401084,15 - 17,Priced Below Range,5,44,148,1
TRGP,Targa Resources Corp,105.2,0.4,3.1,414.289,44.7483,22,12.27272701,984.46,12/7/10,87612G101,10,414.289,44.7483,104.764,237161000,12/1/10,10/1/10,50859.00,100.0833654,0.75,9.571029496,0.171844079,19 - 21,Priced Above Range,2,2,2,1
TRHC,Tabula Rasa HealthCare Inc,11.4,-23.8,-30.7,59.34,16.1542,12,24,193.85,9/29/16,873379101,0.6,59.34,16.1542,71.0027,19259000,9/1/16,7/1/16,54549.00,99.32291136,1,5.067702195,0.240399586,13 - 15,Priced Below Range,1,5,22,1
TRNE/U,Desktop Metal Inc,582.5,-213.8,-47.4,300.15,30.015,10,0,300.15,3/15/19,89628U207,-0.5,300.15,30.015,0.0152404,5718,3/1/19,1/1/19,57100.00,99.65446855,3,3.861910727,0.564135836,10-Oct,Priced Within Range,1,1,41,0
TRNO,Terreno Realty Corp,18.7,39.3,6.1,175,15.6245,20,-6.75,312.49,2/10/10,88146M101,1.8,175,15.6245,117.215,89161900,2/1/10,1/1/10,50036.00,99.50065669,0.75,9.926923507,0.024920738,20 - 20,Priced Within Range,3,3,13,0
TRS,TriMas Corp,11.3,6.6,4.7,139.15,33.4095,11,6.818181992,367.5,5/18/07,896215209,3.1,139.15,33.4095,116.099,48720700,5/1/07,4/1/07,51705.00,101.897221,6.25,4.507395483,0.611071867,13-Nov,Priced Within Range,8,48,107,1
TRTX,TPG RE Finance Trust Inc,-15.3,57.5,-0.9,233,60.1265,20,-2.099999905,1202.53,7/20/17,87266M107,1.7,233,60.1265,75.3177,58300900,7/1/17,7/1/17,55413.00,99.98293814,1.75,4.400611223,-0.068992264,20 - 21,Priced Within Range,3,3,6,0
TRU,TransUnion,16.9,46.8,12.8,764.489,182.22,22.5,12.88888931,4099.95,6/25/15,89400J107,4.2,764.489,182.22,104.779,201909000,6/1/15,4/1/15,54021.00,100.1249321,0.75,5.350969219,0.350287,21 - 23,Priced Within Range,0,7,115,1
TRUE,TrueCar Inc,-16.8,-16.5,-34.3,80.4717,72.2046,9,11.77777767,649.84,5/16/14,89785L107,0.1,80.4717,72.2046,104.102,91728000,5/1/14,4/1/14,52840.00,100.7710708,0.75,6.397136369,0.349260984,14-Dec,Priced Below Range,4,8,9,1
TRUP,Trupanion Inc,39.2,-5,-7,81.938,27.6278,10,14,265.59,7/18/14,898202106,0.1,81.938,27.6278,118.151,48304600,7/1/14,7/1/14,53340.00,100.8354317,0.75,6.275748001,-0.039019396,13 - 15,Priced Below Range,3,18,60,1
TRW,ZF TRW Automotive Holdings Cor,0.6,1.6,3.9,675.861,98.9143,28,-3.214285612,2769.6,2/3/04,87264S106,8.5,675.861,98.9143,0.0030192,3500,2/1/04,1/1/04,48633.00,100.9457332,2,5.666379165,0.539956803,28 - 30,Priced Within Range,5,38,69,0
TSC,TriState Capital Holdings Inc,5.7,32.8,0.6,75.3825,28.6778,11.5,9.478260994,329.79,5/9/13,89678F100,3.3,75.3825,28.6778,29.6902,9986860,5/1/13,4/1/13,51982.00,100.4875479,0.75,7.705884828,0.178040777,10.50 - 12.50,Priced Within Range,3,9,10,1
TSIAU,Latch Inc,129,-402.1,-48.1,300,30,10,0,0,11/10/20,87284T209,-1.2,300,30,15.413,4623900,11/1/20,10/1/20,57005.00,99.33764341,0.25,6.992358599,-0.061062722,10-Oct,Priced Within Range,1,5,5,0
TSLA,Tesla Inc,70.6,10.2,16.9,260.015,95.104,17,40.52941132,1616.77,6/29/10,88160R101,3.8,260.015,95.104,45.2653,1429370000,6/1/10,4/1/10,50424.00,99.64372422,0.75,9.519523123,-0.097626708,14 - 16,Priced Above Range,5,55,177,1
TSLX,Sixth Street Specialty Lending,6.2,73.8,3.9,128.8,52.9377,16,0,847,3/21/14,83012A109,0.0339756,128.8,52.9377,52.7292,42701800,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,16 - 17,Priced Within Range,3,24,37,0
TSQ,Townsquare Media Inc,12.5,4,2.8,98.1563,9.3572,11,-6.818181992,102.93,7/24/14,892231101,3.6,98.1563,9.3572,75.5633,9796270,7/1/14,7/1/14,53340.00,100.8354317,0.75,6.275748001,-0.039019396,14 - 16,Priced Below Range,4,6,103,0
TSRO,TESARO Inc,284.9,-222.1,-92.8,86.8077,27.1007,13.5,1.407407403,365.86,6/28/12,881569107,-7.4,86.8077,27.1007,0.4014,221040,6/1/12,4/1/12,51702.00,99.73298716,0.75,8.221798163,-0.146639688,15-Dec,Priced Within Range,0,13,15,1
TSYS,TeleCommunication Systems Inc,-0.6,-0.4,1,79.9,12.3366,17,47.05882263,209.72,8/8/00,87929J103,-0.1,79.9,12.3366,0.116656,67640,8/1/00,7/1/00,46624.00,100.3264793,6,4.15367782,0,15 - 17,Priced Within Range,4,8,244,1
TTD,Trade Desk Inc/The,43.1,11.5,-0.2,96.6006,0,18,67.22222137,0,9/21/16,88339J105,0.7,96.6006,0,87.8597,391229000,9/1/16,7/1/16,54549.00,99.32291136,1,5.067702195,0.240399586,14 - 16,Priced Above Range,4,19,26,1
TTGT,TechTarget Inc,77.5,0.3,2.1,115.115,39.0595,13,13.76923084,507.77,5/16/07,87874R100,2.8,115.115,39.0595,104.562,30661300,5/1/07,4/1/07,51705.00,101.897221,6.25,4.507395483,0.611071867,14-Dec,Priced Within Range,4,8,159,1
